old_name,new_name,promportal_url,raw_url,collision_resolved
"Колесо зубчатое - 1м63Б.70.214  .jpg","koleso_zubchatoe_-_1m63b.70.214.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.70.214.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.70.214.jpg",""
"Колесо зубчатое - 1м63Б.70.214 .jpg","koleso_zubchatoe_-_1m63b.70.214_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.70.214_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.70.214_2.jpg","Yes"
"Колесо зубчатое - 1м63Б.70.214.jpg","koleso_zubchatoe_-_1m63b.70.214_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.70.214_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-_1m63b.70.214_3.jpg","Yes"
"Колесо зубчатое -1м63.61.228.jpg","koleso_zubchatoe_-1m63.61.228.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_-1m63.61.228.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_-1m63.61.228.jpg",""
"Колесо зубчатое 16к40.41.152  .jpg","koleso_zubchatoe_16k40.41.152.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_16k40.41.152.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_16k40.41.152.jpg",""
"Колесо зубчатое 16к40.41.152 .jpg","koleso_zubchatoe_16k40.41.152_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_16k40.41.152_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_16k40.41.152_2.jpg","Yes"
"Колесо зубчатое 16к40.41.152.jpg","koleso_zubchatoe_16k40.41.152_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_16k40.41.152_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_16k40.41.152_3.jpg","Yes"
"Колесо зубчатое 1М63.02.172  .jpg","koleso_zubchatoe_1m63.02.172.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_1m63.02.172.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_1m63.02.172.jpg",""
"Колесо зубчатое 1М63.02.172 .jpg","koleso_zubchatoe_1m63.02.172_2.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_1m63.02.172_2.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_1m63.02.172_2.jpg","Yes"
"Колесо зубчатое 1М63.02.172.jpg","koleso_zubchatoe_1m63.02.172_3.jpg","https://cdn.jsdelivr.net/gh/411231185-cmd/Foto-RSS@main/Foto-Directus-Watermark/koleso_zubchatoe_1m63.02.172_3.jpg","https://raw.githubusercontent.com/411231185-cmd/Foto-RSS/main/Foto-Directus-Watermark/koleso_zubchatoe_1m63.02.172_3.jpg","Yes"
