old_name,new_name,raw_url,shifr,src_kb,dst_kb,status
Диски фрикционные 6-ти и 8-ми шлицевые для станков и промышленного оборудования.jpg,diski_friktsionnye_6-ti_i_8-mi_shlitsevye_dlya_stankov_i_promyshlennogo_oborudovaniya.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/diski_friktsionnye_6-ti_i_8-mi_shlitsevye_dlya_stankov_i_promyshlennogo_oborudovaniya.jpg,,198.3,56.5,OK
Зап част к револверной головке 1п756.jpg,zap_chast_k_revolvernoj_golovke_1p756.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zap_chast_k_revolvernoj_golovke_1p756.jpg,,182.5,52.5,OK
Запасные части для люнетов станков 1а64 165 1м65 1н65 дип500 вилки ролики башмаки винты пиноли.jpg,zapasnye_chasti_dlya_lyunetov_stankov_1a64_165_1m65_1n65_dip500_vilki_roliki_bashmaki_vinty_pinoli.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_lyunetov_stankov_1a64_165_1m65_1n65_dip500_vilki_roliki_bashmaki_vinty_pinoli.jpg,,203.8,59.7,OK
Запасные части для люнетов токарных станков ролики вилки башмаки.jpg,zapasnye_chasti_dlya_lyunetov_tokarnykh_stankov_roliki_vilki_bashmaki.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_lyunetov_tokarnykh_stankov_roliki_vilki_bashmaki.jpg,,165.3,49.1,OK
"Запасные части для станков 1М63, 1М63Н, 163, ДИП300, 1М63БФ101 — RUSSTANKO.jpg",zapasnye_chasti_dlya_stankov_1m63_1m63n_163_dip300_1m63bf101_russtanko.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_stankov_1m63_1m63n_163_dip300_1m63bf101_russtanko.jpg,,450.7,55.1,OK
Запасные части для станков 1м63 1м63н 163 дип300 1м63бф101 16к40 1н65 165 1м65 муфта тормозная этм 106-за.jpg,zapasnye_chasti_dlya_stankov_1m63_1m63n_163_dip300_1m63bf101_16k40_1n65_165_1m65_mufta_tormoznaya_etm_106-za.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_stankov_1m63_1m63n_163_dip300_1m63bf101_16k40_1n65_165_1m65_mufta_tormoznaya_etm_106-za.jpg,,234.9,67.0,OK
Запасные части для станков 1м63 1м63н 163 дип300 1м63бф101 16к40 кронштейны крепления ручки переключения фрикциона ..jpg,zapasnye_chasti_dlya_stankov_1m63_1m63n_163_dip300_1m63bf101_16k40_kronshtejny_krepleniya_ruchki_pereklyucheniya_friktsiona.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_stankov_1m63_1m63n_163_dip300_1m63bf101_16k40_kronshtejny_krepleniya_ruchki_pereklyucheniya_friktsiona.jpg,,212.4,60.2,OK
Запасные части для станков 1м63 1м63н 163 дип300 1м63бф101 16к40 ручка переключения фрикциона.jpg,zapasnye_chasti_dlya_stankov_1m63_1m63n_163_dip300_1m63bf101_16k40_ruchka_pereklyucheniya_friktsiona.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_stankov_1m63_1m63n_163_dip300_1m63bf101_16k40_ruchka_pereklyucheniya_friktsiona.jpg,,164.5,47.5,OK
Запасные части для станков муфта электромагнитная э144-2а в сборе с поводком-коронкой.jpg,zapasnye_chasti_dlya_stankov_mufta_elektromagnitnaya_e144-2a_v_sbore_s_povodkom-koronkoj.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_stankov_mufta_elektromagnitnaya_e144-2a_v_sbore_s_povodkom-koronkoj.jpg,,183.9,52.3,OK
Запасные части для токарных станков.jpg,zapasnye_chasti_dlya_tokarnykh_stankov.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_tokarnykh_stankov.jpg,,1796.5,58.9,OK
Запасные части для универсалных фрезерных станков и фрезерных станков с чпу захваты для станка гф2171ф3.jpg,zapasnye_chasti_dlya_universalnykh_frezernykh_stankov_i_frezernykh_stankov_s_chpu_zakhvaty_dlya_stanka_gf2171f3.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_universalnykh_frezernykh_stankov_i_frezernykh_stankov_s_chpu_zakhvaty_dlya_stanka_gf2171f3.jpg,,197.8,55.7,OK
Запасные части для универсалных фрезерных станков и фрезерных станков с чпу захваты для.jpg,zapasnye_chasti_dlya_universalnykh_frezernykh_stankov_i_frezernykh_stankov_s_chpu_zakhvaty_dlya.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_universalnykh_frezernykh_stankov_i_frezernykh_stankov_s_chpu_zakhvaty_dlya.jpg,,1939.6,62.7,OK
Запасные части для универсалных фрезерных станков и фрезерных станков с чпу.jpg,zapasnye_chasti_dlya_universalnykh_frezernykh_stankov_i_frezernykh_stankov_s_chpu.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_dlya_universalnykh_frezernykh_stankov_i_frezernykh_stankov_s_chpu.jpg,,181.1,51.5,OK
Запасные части и оснастка для револверных головок 1п756дф3 16м30ф3 16к30ф3 рт755ф3.jpg,zapasnye_chasti_i_osnastka_dlya_revolvernykh_golovok_1p756df3_16m30f3_16k30f3_rt755f3.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_i_osnastka_dlya_revolvernykh_golovok_1p756df3_16m30f3_16k30f3_rt755f3.jpg,,183.9,54.2,OK
Запасные части комплектующие изделия и оснастка для станков с ЧПУ — RUSSTANKO.jpg,zapasnye_chasti_komplektuyuschie_izdeliya_i_osnastka_dlya_stankov_s_chpu_russtanko.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zapasnye_chasti_komplektuyuschie_izdeliya_i_osnastka_dlya_stankov_s_chpu_russtanko.jpg,,436.9,54.2,OK
Захват инструмента 6т13мф4-1.37.271 для фрезерных станков.jpg,zakhvat_instrumenta_6t13mf4-1.37.271_dlya_frezernykh_stankov.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zakhvat_instrumenta_6t13mf4-1.37.271_dlya_frezernykh_stankov.jpg,,187.9,54.1,OK
Защитные ответные кожуха втулки для швп.jpg,zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp.jpg,,149.9,43.5,OK
Защитные ответные кожуха втулки для швп1 — русстанко.jpg,zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp1_russtanko.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp1_russtanko.jpg,,471.0,53.9,OK
Защитные ответные кожуха втулки для швп2.jpg,zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp2.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp2.jpg,,169.9,47.4,OK
Защитные ответные кожуха втулки для швп3.jpg,zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp3.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp3.jpg,,156.0,45.3,OK
Защитные ответные кожуха втулки для швп4.jpg,zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp4.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp4.jpg,,207.5,51.7,OK
Защитные ответные кожуха втулки для швп5.jpg,zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp5.jpg,https://raw.githubusercontent.com/411231185-cmd/Catalog-RSS-Feed/main/Foto-PromPortal/zaschitnye_otvetnye_kozhukha_vtulki_dlya_shvp5.jpg,,256.3,65.4,OK
